Name,Address 1,Address 2,Address 3,City,Country,PostCode
The Harley Street Clinic,35 Weymouth Street,,,London,,W1N 4BJ
The Harley Street General Practice,73 Harley Street,,,London,,W1G 8QJ
The Heart Hospital,UCL Hospitals NHS Trust,47 Wimpole Street,,London,,W1M 7DG
The Hendon Hospital,46/50 Sunny Gardens Road  ,Hendon  ,,London,,NW4 1RP
The Lanes Medical Centre,BA Travel Clinic,Plough Lane,,Stoke Poges,,SL2 4JW
The Lister Hospital,Chelsea Bridge Road  ,,,London,,SW1W 8RH
The London Clinic,5 Devonshire Place  ,,,London,,W1G 6HL
The London Clinic,20 Devonshire Place,,,London,,W1N 2DH
The London Iryo Centre,234-236 Hendon Way,Hendon Central,,London,,NW4 3NE
The London Welbeck Hospital,27 Welbeck Street  ,,,London,,W1G 8EN
The Portland Hospital,234 Great Portland Street  ,,,London,,W1W 5QT
The Portland Hospital for Women and Children,205-209 Great Portland Street,,,London,,W1N 6AH
The Princess Grace Hospital,42-52 Nottingham Place ,,,London,,W1U 5NY
The Princess Grace Hospital,42-52 Nottingham Place,,,London,,W1M 3FD
The Priory - Ticehurst House,Ticehurst,,,Wadhurst,,TN5 7HU
The Priory Clinic - Hove,14-18 New Church Road,,,Hove,,BN3 4FH
The Priory Clinic - Keats House,24-26 St. Thomas Street,,,London,,SE1 9RS
The Priory Grange,Tottingworth Park,,,Heathfield,,TN21 8UN
The Priory Hospital - Altrincham,Rappax Road,,,Altrincham,,WA15 0NX
The Priory Hospital - Bristol,Heath House Lane,Off Bell Hill,,Bristol,,BS16 1EQ
The Priory Hospital - Canterbury,Out-patient Clinic,92B Broad Street,,Canterbury,,CT1 2LU
The Priory Hospital - Chelmsford,Stump Lane,Springfield Green,Springfield,Chelmsford,,CM1 7SJ
The Priory Hospital - Glasgow,38-40 Mansionhouse Road,,,Glasgow,,G41 3DW
The Priory Hospital - North London,The Bourne,Southgate,,London,,N14 6RA
The Priory Hospital - Sturt,Sturt's Lane,,,Walton on the Hill,,KT20 7RQ
The Priory Hospital - Woking,Chobham Road,Knaphill,,Woking,,GU21 2QF
The Priory Hospital - Hayes Grove,Prestons Road,Hayes,,Bromley,,BR2 7AS
The Priory Hospital - Lancashire,Rosemary Lane,Bartle,,Preston,,PR4 0HB
The Priory Hospital - Marchwood,Hythe Road,Marchwood,,Southampton,,SO40 4WU
The Queen Elizabeth Hospital,Gayton Rd  ,,,King's Lynn,,PE30 4ET
The Queen Square Private Hospital,23 Queen Square  ,,,London,,WC1N 3BG
The Radcliffe Infirmary,The Oxford Radcliffe Hospitals NHS Trust,Woodstock Road,,Oxford,,OX2 6HE
The Rivers Hospital,High Wych Road,,,Sawbridgeworth,,CM21 0HH
The Royal Infirmary of Edinburgh,51 Little France Dr  ,,,Edinburgh,,EH16 4SA
The Royal Marsden NHS Trust,203 Fulham Road,Chelsea,,London,,SW3 6JJ
The Royal National,Orthopaedic Hospital,Ian Monroe Ward,41-45 Bolsover Street,London,,W1P 8AQ
The Wellington Hospital,Wellington Place,St Johns Wood Road,,London,,NW8 9LE
The Woodbourne Priory,21 Woodbourne Road,Edgbaston,,Birmingham,,B17 8BY
The Yorkshire Clinic,Bradford Road,,,Bingley,,BD16 1TW
Tower Hill Medical Centre,10 Lloyds Avenue,,,London,,EC3N 3AX
Tunbridge Wells Nuffield Hospital,Kingswood Road,,,Tunbridge Wells,,TN2 4UL
University College Hospital,235 Euston Road,,,London,,NW1 2BU
University College London Hospital,Private Patients Wing,Rosenheim Building,25 Grafton Way,London,,WC1 6DB
Unstead Park Rehabilitation Centre,Munstead Heath Road,,,Godalming,,GU7 1UW
Wakefield & District MRI Centre,Pinderfields Hospital,Aberford Road,,Wakefield,,WF1 4TT
Walsall MRI Centre,Walsall Hospitals NHS Trust,Manor Hospital,Moat Road,Walsall,,WS2 9PS
Warrington MRI Centre,Warrington Hospital,Lovely Lane,,Warrington,,WA5 1QG
Warwickshire Nuffield Hospital,The Chase,Old Milverton Lane,,Leamington Spa,,CV32 6RW
Wessex Nuffield Hospital,Winchester Road,Chandler's Ford,,Eastleigh,,SO53 2DW
West Dorset MRI Centre,Medical Imaging Department,Dorset County Hospital,Williams Avenue,Dorchester,,DT1 2JY
West Middlesex MRI Centre,West Middlesex University Hospital,Twickenham Road,,Isleworth,,TW7 6AF
West Midlands Hospital,Colman Hill,,,Halesowen,,B63 2AH
West Suffolk NHS Foundation Trust,Hardwick Ln  ,,,Bury St Edmunds,,IP33 2QZ
Wexham Park Hospital,Heatherwood and Wexham,Hospital NHS Trust,Wexham Street,Slough,,SL2 4HL
Weymouth Street Hospital,42-46 Weymouth Street  ,,,London,,W1G 6NP
Wharfedale General Hospital,Leeds Teaching Hospitals NHS Trust,Newall Carr Road,Otley,Leeds,,LS21 2LY
Whipps Cross MRI Centre,Whipps Cross University Hospital,Whipps Cross Road,Leytonstone,London,,E11 1NR
Wide Open MRI at Shirley Oaks Hospital,Shirley Oaks Hospital,Poppy Lane,Shirley Oaks,Croydon,,CR9 8AB
Wide Open MRI at The Ridgeway Hospital,The Ridgeway Hospital,Moormead Road,Wroughton,Swindon,,SN4 9DD
Wide Open MRI of Cardiff,Copse Walk,Cardiff Gate Business Park,,Cardiff,,CF23 8RB
Wide Open MRI of North London,30-100 Colindeep Lane,,,London,,NE9 6HB
Winfield Hospital,Tewkesbury Road,,,Longford,,GL2 9WH
Woking Nuffield Hospital,Shores Road,,,Woking,,GU21 4BY
Wolverhampton Nuffield Hospital,Wood Road,Tettenhall,,Wolverhampton,,WV8 8LE
Woodland Hospital,Rothwell Road,,,Kettering,,NN16 8XF
Worcestershire Acute Hospitals NHS Trust,,,,Worcester,,WR5 1DD
Worthing Hospital,Worthing & Southlands Hospitals NHS Trust,Lyndhurst Road,,Worthing,,BN11 2DH
Wye Valley Nuffield Hospital,Venns Lan,,,Hereford,,HR1 1DF
Yeovil District Hospital,East Somerset NHS Trust,Higher Kingston,,Yeovil,,
York & North Yorkshire MRI Centre,Sir Peter Shepherd Building,Wiggington Road,,York,,YO31 8YU
